"Countries, territories and areas",Year,valor
Nicaragua,1976,1368
Nicaragua,1977,901
Nicaragua,1978,161
Nicaragua,1979,1270
Nicaragua,1980,3784
Nicaragua,1981,224
Nicaragua,1982,226
Nicaragua,1983,112
Nicaragua,1984,153
Nicaragua,1985,956
Nicaragua,1986,2550
Nicaragua,1987,792
Nicaragua,1988,314
Nicaragua,1989,0
Nicaragua,1990,0
Nicaragua,1991,0
Nicaragua,1992,2332
Nicaragua,1993,339
Nicaragua,1994,3
Nicaragua,1995,5
Nicaragua,1996,0
Nicaragua,1997,0
Nicaragua,1998,0
Nicaragua,1999,0
Nicaragua,2000,0
Nicaragua,2001,0
Nicaragua,2002,0
Nicaragua,2003,0
Nicaragua,2004,0
Nicaragua,2005,0
Nicaragua,2006,0
Nicaragua,2007,0
Nicaragua,2008,0
Nicaragua,2009,0
Nicaragua,2010,0
Nicaragua,2011,0
Nicaragua,2012,0
Nicaragua,2013,0
Nicaragua,2014,0
Nicaragua,2015,0
Nicaragua,2016,0
Nicaragua,2017,0
Nicaragua,2018,0
Nicaragua,2019,0
Nicaragua,2020,0
Nicaragua,2021,0
Palau,1974,0
Palau,1975,0
Palau,1976,0
Palau,1977,0
Palau,1978,0
Palau,1979,0
Palau,1980,0
Palau,1981,0
Palau,1982,0
Palau,1983,0
Palau,1984,0
Palau,1985,0
Palau,1986,0
Palau,1987,0
Palau,1988,0
Palau,1989,1
Palau,1990,0
Palau,1991,0
Palau,1992,0
Palau,1993,93
Palau,1994,0
Palau,1995,0
Palau,1996,0
Palau,1997,0
Palau,1998,1
Palau,1999,0
Palau,2000,0
Palau,2001,
Palau,2002,0
Palau,2003,
Palau,2004,0
Palau,2005,0
Palau,2006,0
Palau,2007,0
Palau,2008,0
Palau,2009,0
Palau,2010,0
Palau,2011,0
Palau,2012,0
Palau,2013,0
Palau,2014,0
Palau,2015,0
Palau,2016,0
Palau,2017,0
Palau,2018,
Palau,2019,
Palau,2020,
Palau,2021,
Panama,1974,508
Panama,1975,245
Panama,1976,1317
Panama,1977,2545
Panama,1978,2346
Panama,1979,4350
Panama,1980,2096
Panama,1981,4332
Panama,1982,4014
Panama,1983,595
Panama,1984,358
Panama,1985,4295
Panama,1986,4199
Panama,1987,1885
Panama,1988,378
Panama,1989,301
Panama,1990,1891
Panama,1991,2430
Panama,1992,845
Panama,1993,90
Panama,1994,3
Panama,1995,19
Panama,1996,0
Panama,1997,0
Panama,1998,0
Panama,1999,0
Panama,2000,0
Panama,2001,0
Panama,2002,0
Panama,2003,0
Panama,2004,0
Panama,2005,0
Panama,2006,0
Panama,2007,0
Panama,2008,0
Panama,2009,0
Panama,2010,0
Panama,2011,4
Panama,2012,0
Panama,2013,0
Panama,2014,0
Panama,2015,0
Panama,2016,0
Panama,2017,0
Panama,2018,0
Panama,2019,0
Panama,2020,0
Panama,2021,
Paraguay,1974,2601
Paraguay,1975,140
Paraguay,1976,1331
Paraguay,1977,1596
Paraguay,1978,487
Paraguay,1979,1309
Paraguay,1980,745
Paraguay,1981,428
Paraguay,1982,531
Paraguay,1983,1259
Paraguay,1984,979
Paraguay,1985,666
Paraguay,1986,610
Paraguay,1987,1742
Paraguay,1988,755
Paraguay,1989,386
Paraguay,1990,1396
Paraguay,1991,526
Paraguay,1992,864
Paraguay,1993,2066
Paraguay,1994,122
Paraguay,1995,73
Paraguay,1996,13
Paraguay,1997,143
Paraguay,1998,70
Paraguay,1999,0
Paraguay,2000,0
Paraguay,2001,0
Paraguay,2002,0
Paraguay,2003,0
Paraguay,2004,0
Paraguay,2005,0
Paraguay,2006,0
Paraguay,2007,0
Paraguay,2008,0
Paraguay,2009,0
Paraguay,2010,0
Paraguay,2011,0
Paraguay,2012,0
Paraguay,2013,0
Paraguay,2014,0
Paraguay,2015,0
Paraguay,2016,0
Paraguay,2017,0
Paraguay,2018,0
Paraguay,2019,0
Paraguay,2020,0
Paraguay,2021,0
Peru,1974,7687
Peru,1975,6749
Peru,1976,9761
Peru,1977,8827
Peru,1978,3386
Peru,1979,13345
Peru,1980,19246
Peru,1981,10071
Peru,1982,12708
Peru,1983,7619
Peru,1984,13039
Peru,1985,9393
Peru,1986,6099
Peru,1987,6240
Peru,1988,5785
Peru,1989,1145
Peru,1990,737
Peru,1991,1014
Peru,1992,22605
Peru,1993,1730
Peru,1994,670
Peru,1995,353
Peru,1996,105
Peru,1997,95
Peru,1998,10
Peru,1999,12
Peru,2000,1
Peru,2001,0
Peru,2002,0
Peru,2003,0
Peru,2004,0
Peru,2005,0
Peru,2006,0
Peru,2007,0
Peru,2008,1
Peru,2009,0
Peru,2010,0
Peru,2011,0
Peru,2012,0
Peru,2013,0
Peru,2014,0
Peru,2015,4
Peru,2016,0
Peru,2017,0
Peru,2018,42
Peru,2019,2
Peru,2020,0
Peru,2021,0
Saint Lucia,1974,382
Saint Lucia,1975,520
Saint Lucia,1976,725
Saint Lucia,1977,0
Saint Lucia,1978,134
Saint Lucia,1979,9
Saint Lucia,1980,35
Saint Lucia,1981,134
Saint Lucia,1982,2039
Saint Lucia,1983,71
Saint Lucia,1984,13
Saint Lucia,1985,9
Saint Lucia,1986,32
Saint Lucia,1987,4
Saint Lucia,1988,4
Saint Lucia,1989,10
Saint Lucia,1990,30
Saint Lucia,1991,2
Saint Lucia,1992,0
Saint Lucia,1993,0
Saint Lucia,1994,0
Saint Lucia,1995,2
Saint Lucia,1996,0
Saint Lucia,1997,0
Saint Lucia,1998,0
Saint Lucia,1999,0
Saint Lucia,2000,0
Saint Lucia,2001,0
Saint Lucia,2002,0
Saint Lucia,2003,0
Saint Lucia,2004,0
Saint Lucia,2005,0
Saint Lucia,2006,0
Saint Lucia,2007,0
Saint Lucia,2008,0
Saint Lucia,2009,0
Saint Lucia,2010,0
Saint Lucia,2011,0
Saint Lucia,2012,0
Saint Lucia,2013,0
Saint Lucia,2014,0
Saint Lucia,2015,0
Saint Lucia,2016,0
Saint Lucia,2017,0
Saint Lucia,2018,0
Saint Lucia,2019,0
Saint Lucia,2020,0
Saint Lucia,2021,0
Saint Vincent and the Grenadines,1974,1
Saint Vincent and the Grenadines,1975,202
Saint Vincent and the Grenadines,1976,7
Saint Vincent and the Grenadines,1977,
Saint Vincent and the Grenadines,1978,0
Saint Vincent and the Grenadines,1979,40
Saint Vincent and the Grenadines,1980,257
Saint Vincent and the Grenadines,1981,19
Saint Vincent and the Grenadines,1982,757
Saint Vincent and the Grenadines,1983,63
Saint Vincent and the Grenadines,1984,15
Saint Vincent and the Grenadines,1985,5
Saint Vincent and the Grenadines,1986,2
Saint Vincent and the Grenadines,1987,1
Saint Vincent and the Grenadines,1988,10
Saint Vincent and the Grenadines,1989,1
Saint Vincent and the Grenadines,1990,1
Saint Vincent and the Grenadines,1991,0
Saint Vincent and the Grenadines,1992,0
Saint Vincent and the Grenadines,1993,0
Saint Vincent and the Grenadines,1994,0
Saint Vincent and the Grenadines,1995,0
Saint Vincent and the Grenadines,1996,0
Saint Vincent and the Grenadines,1997,0
Saint Vincent and the Grenadines,1998,0
Saint Vincent and the Grenadines,1999,0
Saint Vincent and the Grenadines,2000,0
Saint Vincent and the Grenadines,2001,0
Saint Vincent and the Grenadines,2002,0
Saint Vincent and the Grenadines,2003,0
Saint Vincent and the Grenadines,2004,0
Saint Vincent and the Grenadines,2005,0
Saint Vincent and the Grenadines,2006,0
Saint Vincent and the Grenadines,2007,0
Saint Vincent and the Grenadines,2008,0
Saint Vincent and the Grenadines,2009,0
Saint Vincent and the Grenadines,2010,0
Saint Vincent and the Grenadines,2011,0
Saint Vincent and the Grenadines,2012,0
Saint Vincent and the Grenadines,2013,0
Saint Vincent and the Grenadines,2014,0
Saint Vincent and the Grenadines,2015,0
Saint Vincent and the Grenadines,2016,0
Saint Vincent and the Grenadines,2017,0
Saint Vincent and the Grenadines,2018,0
Saint Vincent and the Grenadines,2019,0
Saint Vincent and the Grenadines,2020,0
Saint Vincent and the Grenadines,2021,
Samoa,1974,538
Samoa,1975,314
Samoa,1976,1348
Samoa,1977,240
Samoa,1978,1026
Samoa,1979,68
Samoa,1980,376
Samoa,1981,72
Samoa,1982,28
Samoa,1983,7
Samoa,1984,0
Samoa,1985,1095
Samoa,1986,1
Samoa,1987,0
Samoa,1988,0
Samoa,1989,1
Samoa,1990,0
Samoa,1991,0
Samoa,1992,4
Samoa,1993,7
Samoa,1994,0
Samoa,1995,0
Samoa,1996,87
Samoa,1997,0
Samoa,1998,8
Samoa,1999,
Samoa,2000,
Samoa,2001,
Samoa,2002,
Samoa,2003,0
Samoa,2004,0
Samoa,2005,0
Samoa,2006,0
Samoa,2007,
Samoa,2008,
Samoa,2009,0
Samoa,2010,8
Samoa,2011,0
Samoa,2012,1
Samoa,2013,
Samoa,2014,
Samoa,2015,
Samoa,2016,
Samoa,2017,3
Samoa,2018,0
Samoa,2019,5687
Samoa,2020,11
Samoa,2021,3
Suriname,1974,0
Suriname,1975,
Suriname,1976,143
Suriname,1977,
Suriname,1978,0
Suriname,1979,0
Suriname,1980,254
Suriname,1981,716
Suriname,1982,647
Suriname,1983,17
Suriname,1984,40
Suriname,1985,110
Suriname,1986,37
Suriname,1987,5
Suriname,1988,68
Suriname,1989,0
Suriname,1990,35
Suriname,1991,0
Suriname,1992,0
Suriname,1993,0
Suriname,1994,0
Suriname,1995,0
Suriname,1996,0
Suriname,1997,0
Suriname,1998,0
Suriname,1999,0
Suriname,2000,0
Suriname,2001,0
Suriname,2002,0
Suriname,2003,0
Suriname,2004,0
Suriname,2005,0
Suriname,2006,0
Suriname,2007,0
Suriname,2008,0
Suriname,2009,0
Suriname,2010,0
Suriname,2011,0
Suriname,2012,0
Suriname,2013,0
Suriname,2014,0
Suriname,2015,0
Suriname,2016,0
Suriname,2017,0
Suriname,2018,0
Suriname,2019,0
Suriname,2020,0
Suriname,2021,0
Tonga,1974,34
Tonga,1975,0
Tonga,1976,2487
Tonga,1977,84
Tonga,1978,17
Tonga,1979,523
Tonga,1980,2336
Tonga,1981,187
Tonga,1982,19
Tonga,1983,36
Tonga,1984,5
Tonga,1985,412
Tonga,1986,233
Tonga,1987,0
Tonga,1988,0
Tonga,1989,25
Tonga,1990,65
Tonga,1991,18
Tonga,1992,10
Tonga,1993,0
Tonga,1994,
Tonga,1995,0
Tonga,1996,0
Tonga,1997,1081
Tonga,1998,36
Tonga,1999,6
Tonga,2000,0
Tonga,2001,4
Tonga,2002,0
Tonga,2003,0
Tonga,2004,0
Tonga,2005,0
Tonga,2006,0
Tonga,2007,0
Tonga,2008,0
Tonga,2009,0
Tonga,2010,0
Tonga,2011,0
Tonga,2012,0
Tonga,2013,0
Tonga,2014,
Tonga,2015,
Tonga,2016,0
Tonga,2017,0
Tonga,2018,0
Tonga,2019,659
Tonga,2020,
Tonga,2021,
Trinidad and Tobago,1974,219
Trinidad and Tobago,1975,244
Trinidad and Tobago,1976,589
Trinidad and Tobago,1977,1602
Trinidad and Tobago,1978,775
Trinidad and Tobago,1979,394
Trinidad and Tobago,1980,384
Trinidad and Tobago,1981,3601
Trinidad and Tobago,1982,1284
Trinidad and Tobago,1983,2392
Trinidad and Tobago,1984,3556
Trinidad and Tobago,1985,3549
Trinidad and Tobago,1986,2660
Trinidad and Tobago,1987,441
Trinidad and Tobago,1988,388
Trinidad and Tobago,1989,2170
Trinidad and Tobago,1990,511
Trinidad and Tobago,1991,141
Trinidad and Tobago,1992,0
Trinidad and Tobago,1993,0
Trinidad and Tobago,1994,0
Trinidad and Tobago,1995,0
Trinidad and Tobago,1996,0
Trinidad and Tobago,1997,1
Trinidad and Tobago,1998,0
Trinidad and Tobago,1999,0
Trinidad and Tobago,2000,0
Trinidad and Tobago,2001,0
Trinidad and Tobago,2002,0
Trinidad and Tobago,2003,0
Trinidad and Tobago,2004,0
Trinidad and Tobago,2005,0
Trinidad and Tobago,2006,0
Trinidad and Tobago,2007,0
Trinidad and Tobago,2008,0
Trinidad and Tobago,2009,0
Trinidad and Tobago,2010,0
Trinidad and Tobago,2011,0
Trinidad and Tobago,2012,0
Trinidad and Tobago,2013,0
Trinidad and Tobago,2014,0
Trinidad and Tobago,2015,0
Trinidad and Tobago,2016,0
Trinidad and Tobago,2017,0
Trinidad and Tobago,2018,0
Trinidad and Tobago,2019,0
Trinidad and Tobago,2020,0
Trinidad and Tobago,2021,0
Tuvalu,1974,
Tuvalu,1975,0
Tuvalu,1976,1
Tuvalu,1977,0
Tuvalu,1978,0
Tuvalu,1979,94
Tuvalu,1980,509
Tuvalu,1981,3
Tuvalu,1982,20
Tuvalu,1983,0
Tuvalu,1984,2
Tuvalu,1985,0
Tuvalu,1986,0
Tuvalu,1987,284
Tuvalu,1988,0
Tuvalu,1989,0
Tuvalu,1990,
Tuvalu,1991,0
Tuvalu,1992,1
Tuvalu,1993,0
Tuvalu,1994,0
Tuvalu,1995,1
Tuvalu,1996,51
Tuvalu,1997,14
Tuvalu,1998,
Tuvalu,1999,0
Tuvalu,2000,
Tuvalu,2001,0
Tuvalu,2002,0
Tuvalu,2003,0
Tuvalu,2004,0
Tuvalu,2005,0
Tuvalu,2006,0
Tuvalu,2007,0
Tuvalu,2008,0
Tuvalu,2009,0
Tuvalu,2010,0
Tuvalu,2011,0
Tuvalu,2012,0
Tuvalu,2013,
Tuvalu,2014,
Tuvalu,2015,
Tuvalu,2016,
Tuvalu,2017,
Tuvalu,2018,
Tuvalu,2019,0
Tuvalu,2020,
Tuvalu,2021,
United States of America,1974,22094
United States of America,1975,24374
United States of America,1976,41126
United States of America,1977,57345
United States of America,1978,26871
United States of America,1979,13597
United States of America,1980,13506
United States of America,1981,3124
United States of America,1982,1714
United States of America,1983,1497
United States of America,1984,2587
United States of America,1985,2822
United States of America,1986,6282
United States of America,1987,3655
United States of America,1988,3396
United States of America,1989,18193
United States of America,1990,27786
United States of America,1991,9643
United States of America,1992,2231
United States of America,1993,312
United States of America,1994,958
United States of America,1995,309
United States of America,1996,489
United States of America,1997,138
United States of America,1998,100
United States of America,1999,100
United States of America,2000,85
United States of America,2001,116
United States of America,2002,41
United States of America,2003,56
United States of America,2004,37
United States of America,2005,66
United States of America,2006,55
United States of America,2007,43
United States of America,2008,140
United States of America,2009,71
United States of America,2010,63
United States of America,2011,220
United States of America,2012,55
United States of America,2013,187
United States of America,2014,667
United States of America,2015,188
United States of America,2016,85
United States of America,2017,120
United States of America,2018,375
United States of America,2019,
United States of America,2020,1275
United States of America,2021,14
Uruguay,1974,4456
Uruguay,1975,5754
Uruguay,1976,1356
Uruguay,1977,5178
Uruguay,1978,552
Uruguay,1979,1226
Uruguay,1980,141
Uruguay,1981,15465
Uruguay,1982,135
Uruguay,1983,18
Uruguay,1984,352
Uruguay,1985,160
Uruguay,1986,198
Uruguay,1987,1190
Uruguay,1988,76
Uruguay,1989,20
Uruguay,1990,110
Uruguay,1991,2040
Uruguay,1992,187
Uruguay,1993,16
Uruguay,1994,0
Uruguay,1995,5
Uruguay,1996,2
Uruguay,1997,2
Uruguay,1998,6
Uruguay,1999,34
Uruguay,2000,0
Uruguay,2001,0
Uruguay,2002,0
Uruguay,2003,0
Uruguay,2004,0
Uruguay,2005,0
Uruguay,2006,0
Uruguay,2007,0
Uruguay,2008,0
Uruguay,2009,0
Uruguay,2010,0
Uruguay,2011,0
Uruguay,2012,0
Uruguay,2013,0
Uruguay,2014,0
Uruguay,2015,0
Uruguay,2016,0
Uruguay,2017,0
Uruguay,2018,0
Uruguay,2019,9
Uruguay,2020,2
Uruguay,2021,0
Vanuatu,1974,
Vanuatu,1975,129
Vanuatu,1976,24
Vanuatu,1977,1133
Vanuatu,1978,378
Vanuatu,1979,7
Vanuatu,1980,39
Vanuatu,1981,45
Vanuatu,1982,832
Vanuatu,1983,401
Vanuatu,1984,1634
Vanuatu,1985,940
Vanuatu,1986,1064
Vanuatu,1987,253
Vanuatu,1988,140
Vanuatu,1989,169
Vanuatu,1990,67
Vanuatu,1991,541
Vanuatu,1992,154
Vanuatu,1993,67
Vanuatu,1994,27
Vanuatu,1995,27
Vanuatu,1996,4
Vanuatu,1997,113
Vanuatu,1998,
Vanuatu,1999,12
Vanuatu,2000,9
Vanuatu,2001,7
Vanuatu,2002,101
Vanuatu,2003,165
Vanuatu,2004,
Vanuatu,2005,3
Vanuatu,2006,0
Vanuatu,2007,0
Vanuatu,2008,0
Vanuatu,2009,0
Vanuatu,2010,0
Vanuatu,2011,0
Vanuatu,2012,0
Vanuatu,2013,0
Vanuatu,2014,10
Vanuatu,2015,39
Vanuatu,2016,
Vanuatu,2017,
Vanuatu,2018,0
Vanuatu,2019,0
Vanuatu,2020,0
Vanuatu,2021,0
Venezuela (Bolivarian Republic of),1974,33454
Venezuela (Bolivarian Republic of),1975,34796
Venezuela (Bolivarian Republic of),1976,23268
Venezuela (Bolivarian Republic of),1977,13330
Venezuela (Bolivarian Republic of),1978,18568
Venezuela (Bolivarian Republic of),1979,21691
Venezuela (Bolivarian Republic of),1980,9750
Venezuela (Bolivarian Republic of),1981,31255
Venezuela (Bolivarian Republic of),1982,14200
Venezuela (Bolivarian Republic of),1983,11263
Venezuela (Bolivarian Republic of),1984,11833
Venezuela (Bolivarian Republic of),1985,21974
Venezuela (Bolivarian Republic of),1986,14026
Venezuela (Bolivarian Republic of),1987,19261
Venezuela (Bolivarian Republic of),1988,12339
Venezuela (Bolivarian Republic of),1989,10160
Venezuela (Bolivarian Republic of),1990,9881
Venezuela (Bolivarian Republic of),1991,15273
Venezuela (Bolivarian Republic of),1992,11949
Venezuela (Bolivarian Republic of),1993,20244
Venezuela (Bolivarian Republic of),1994,15364
Venezuela (Bolivarian Republic of),1995,172
Venezuela (Bolivarian Republic of),1996,89
Venezuela (Bolivarian Republic of),1997,27
Venezuela (Bolivarian Republic of),1998,4
Venezuela (Bolivarian Republic of),1999,0
Venezuela (Bolivarian Republic of),2000,22
Venezuela (Bolivarian Republic of),2001,115
Venezuela (Bolivarian Republic of),2002,2392
Venezuela (Bolivarian Republic of),2003,0
Venezuela (Bolivarian Republic of),2004,0
Venezuela (Bolivarian Republic of),2005,0
Venezuela (Bolivarian Republic of),2006,78
Venezuela (Bolivarian Republic of),2007,32
Venezuela (Bolivarian Republic of),2008,0
Venezuela (Bolivarian Republic of),2009,0
Venezuela (Bolivarian Republic of),2010,0
Venezuela (Bolivarian Republic of),2011,0
Venezuela (Bolivarian Republic of),2012,1
Venezuela (Bolivarian Republic of),2013,0
Venezuela (Bolivarian Republic of),2014,0
Venezuela (Bolivarian Republic of),2015,0
Venezuela (Bolivarian Republic of),2016,0
Venezuela (Bolivarian Republic of),2017,727
Venezuela (Bolivarian Republic of),2018,5667
Venezuela (Bolivarian Republic of),2019,548
Venezuela (Bolivarian Republic of),2020,0
Venezuela (Bolivarian Republic of),2021,0
